"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4317","test_at_auth_color","tests","2026-04-29","passed","2026-04-29","","test_at_store","",""
"","3495","test_check_001[page0]","SauceDemo","2026-04-29","passed","2026-04-29","TestCheckout","test_e2e","",""
"
        Тесты Авторизации:
        003 Вход с неверным паролем
        004 Вход с несуществующим логином
        005 Пустой логин
        006 Пустой пароль

        :param page: фикстура браузера со страницей
        :param username: имя пользователя
        :param password: пароль пользователя
        :param error_msg: сообщение об ошибке
        :return: None
        ","2317","auth_003-008 Вход с неверными данными","SauceDemo","2026-04-29","passed","2026-04-29","TestAuth","Авторизация - Логин по имени и паролю","",""
"","2365","test_check_mobile_001[mobile1]","SauceDemo mobile","2026-04-29","passed","2026-04-29","TestCheckoutMobile","test_e2e_mobile","",""
"
        Тесты Авторизации:
        003 Вход с неверным паролем
        004 Вход с несуществующим логином
        005 Пустой логин
        006 Пустой пароль

        :param page: фикстура браузера со страницей
        :param username: имя пользователя
        :param password: пароль пользователя
        :param error_msg: сообщение об ошибке
        :return: None
        ","2308","auth_003-008 Вход с неверными данными","SauceDemo","2026-04-29","passed","2026-04-29","TestAuth","Авторизация - Логин по имени и паролю","",""
"
        Тесты Авторизации:
        003 Вход с неверным паролем
        004 Вход с несуществующим логином
        005 Пустой логин
        006 Пустой пароль

        :param page: фикстура браузера со страницей
        :param username: имя пользователя
        :param password: пароль пользователя
        :param error_msg: сообщение об ошибке
        :return: None
        ","2326","auth_003-008 Вход с неверными данными","SauceDemo","2026-04-29","passed","2026-04-29","TestAuth","Авторизация - Логин по имени и паролю","",""
"","0","test_check_mobile_001[mobile0]","SauceDemo mobile","2026-04-29","broken","2026-04-29","TestCheckoutMobile","test_e2e_mobile","",""
"
        Тесты Авторизации:
        003 Вход с неверным паролем
        004 Вход с несуществующим логином
        005 Пустой логин
        006 Пустой пароль

        :param page: фикстура браузера со страницей
        :param username: имя пользователя
        :param password: пароль пользователя
        :param error_msg: сообщение об ошибке
        :return: None
        ","2313","auth_003-008 Вход с неверными данными","SauceDemo","2026-04-29","passed","2026-04-29","TestAuth","Авторизация - Логин по имени и паролю","",""
"
        Тесты Авторизации:
        003 Вход с неверным паролем
        004 Вход с несуществующим логином
        005 Пустой логин
        006 Пустой пароль

        :param page: фикстура браузера со страницей
        :param username: имя пользователя
        :param password: пароль пользователя
        :param error_msg: сообщение об ошибке
        :return: None
        ","2308","auth_003-008 Вход с неверными данными","SauceDemo","2026-04-29","passed","2026-04-29","TestAuth","Авторизация - Логин по имени и паролю","",""
"
        Тесты Авторизации:
        003 Вход с неверным паролем
        004 Вход с несуществующим логином
        005 Пустой логин
        006 Пустой пароль

        :param page: фикстура браузера со страницей
        :param username: имя пользователя
        :param password: пароль пользователя
        :param error_msg: сообщение об ошибке
        :return: None
        ","2324","auth_003-008 Вход с неверными данными","SauceDemo","2026-04-29","passed","2026-04-29","TestAuth","Авторизация - Логин по имени и паролю","",""
"
        Тесты Авторизации:
        003 Вход с неверным паролем
        004 Вход с несуществующим логином
        005 Пустой логин
        006 Пустой пароль

        :param page: фикстура браузера со страницей
        :param username: имя пользователя
        :param password: пароль пользователя
        :param error_msg: сообщение об ошибке
        :return: None
        ","2330","auth_003-008 Вход с неверными данными","SauceDemo","2026-04-29","passed","2026-04-29","TestAuth","Авторизация - Логин по имени и паролю","",""
"
        Тесты Авторизации:
        003 Вход с неверным паролем
        004 Вход с несуществующим логином
        005 Пустой логин
        006 Пустой пароль

        :param page: фикстура браузера со страницей
        :param username: имя пользователя
        :param password: пароль пользователя
        :param error_msg: сообщение об ошибке
        :return: None
        ","2329","auth_003-008 Вход с неверными данными","SauceDemo","2026-04-29","passed","2026-04-29","TestAuth","Авторизация - Логин по имени и паролю","",""
"
        Тесты Авторизации:
        003 Вход с неверным паролем
        004 Вход с несуществующим логином
        005 Пустой логин
        006 Пустой пароль

        :param page: фикстура браузера со страницей
        :param username: имя пользователя
        :param password: пароль пользователя
        :param error_msg: сообщение об ошибке
        :return: None
        ","2302","auth_003-008 Вход с неверными данными","SauceDemo","2026-04-29","passed","2026-04-29","TestAuth","Авторизация - Логин по имени и паролю","",""
"","5","Инвентори 01","SauceDemo","2026-04-29","passed","2026-04-29","TestInventory","Страница товаров","",""
" Успешный вход со стандартным пользователем ","2402","auth_001 Успешный вход","SauceDemo","2026-04-29","passed","2026-04-29","Успешный вход","Авторизация - Логин по имени и паролю","",""
